C_ID,C_EquipmentSpend,C_ApparelSpend,C_FootwearSpend,C_Gender,C_Age,C_State,C_Area,C_DeviceType,C_ShoppingCart,C_EmailAd,C_ShoppingDuration,C_TimeOfShopping,C_Number_of_Orders,C_Reviews,C_OrderToDelivery,C_Payment,App_Discounts,App_Tenure,App_Referral
CXAUQ_2202,40,50,108,F,31,NT,Urban,Phone_iOS,Browser,Weekly,39,6:00 AM - 12:00 PM,5,1,3,eWallet,N,0,0
CXAUQ_1026,260,183,100,F,61,SA,Urban,Tablet_Android,Browser,Daily,6,12:00 AM - 6:00 AM,2,2,1,BNPL,N,0,0
CXAUQ_1036,1200,220,48,M,59,NSW,Urban,Phone_Android,App,Daily,23,12:00 AM - 6:00 AM,5,5,4,eWallet,Y,11,0
CXAUQ_1642,40,91,357,F,56,SA,Urban,Tablet_iOS,App,Daily,42,6:00 PM - 12:00 AM,1,3,2,BNPL,Y,4,0
CXAUQ_2253,40,92,161,F,34,VIC,Rural,Phone_iOS,App,Daily,41,6:00 AM - 12:00 PM,3,2,4,eWallet,Y,12,0
CXAUQ_257,40,61,75,M,28,QLD,Urban,Phone_iOS,App,Daily,35,12:00 PM - 6:00 PM,2,1,3,eWallet,Y,10,0
CXAUQ_1964,40,185,318,M,20,SA,Rural,Phone_iOS,Browser,Weekly,50,6:00 AM - 12:00 PM,3,1,2,BNPL,N,0,0
CXAUQ_647,900,218,0,M,57,SA,Rural,Phone_Android,App,Monthly,37,12:00 PM - 6:00 PM,7,3,4,BNPL,Y,25,8
CXAUQ_2045,1750,86,411,M,48,NSW,Rural,Tablet_Android,App,Monthly,6,6:00 AM - 12:00 PM,14,4,4,BNPL,Y,30,0
CXAUQ_1387,40,50,343,F,22,NT,Urban,Phone_iOS,Browser,Daily,43,6:00 PM - 12:00 AM,1,2,2,BNPL,N,0,0
CXAUQ_2624,40,238,62,M,20,WA,Urban,Tablet_iOS,Browser,Daily,43,6:00 PM - 12:00 AM,3,2,3,eWallet,N,0,0
CXAUQ_559,40,70,40,F,26,VIC,Urban,Phone_Android,App,Daily,6,12:00 PM - 6:00 PM,1,1,3,eWallet,Y,7,2
CXAUQ_1548,40,105,253,F,21,ACT,Urban,Tablet_iOS,App,Weekly,33,6:00 PM - 12:00 AM,1,2,2,BNPL,Y,14,0
CXAUQ_1523,1550,205,488,F,57,ACT,Urban,Tablet_Android,App,Monthly,34,6:00 PM - 12:00 AM,1,5,4,BNPL,Y,23,0
CXAUQ_2712,1100,188,256,F,44,NSW,Rural,Tablet_Android,Browser,Daily,4,6:00 PM - 12:00 AM,4,4,4,BNPL,N,0,0
CXAUQ_1478,1300,192,268,F,55,NSW,Urban,Tablet_Android,Browser,Daily,13,6:00 PM - 12:00 AM,2,5,4,BNPL,N,0,0
CXAUQ_2612,950,173,202,F,56,TAS,Rural,Phone_Android,Browser,Weekly,0,6:00 PM - 12:00 AM,1,5,4,BNPL,N,0,0
CXAUQ_663,40,85,43,M,30,ACT,Rural,Phone_Android,Browser,Weekly,8,12:00 PM - 6:00 PM,1,3,2,BNPL,N,0,0
CXAUQ_62,200,153,177,M,26,VIC,Urban,Phone_iOS,App,Daily,19,12:00 PM - 6:00 PM,6,2,3,eWallet,Y,27,0
CXAUQ_304,40,198,0,M,24,NT,Urban,Phone_iOS,Browser,Daily,55,12:00 PM - 6:00 PM,4,2,3,eWallet,N,0,0
CXAUQ_1730,1000,191,218,F,43,ACT,Urban,Tablet_iOS,Browser,Weekly,3,6:00 PM - 12:00 AM,7,3,4,BNPL,N,0,0
CXAUQ_909,40,54,40,M,36,SA,Urban,Tablet_iOS,Browser,Daily,48,12:00 AM - 6:00 AM,1,3,1,BNPL,N,0,0
CXAUQ_2729,1300,245,317,M,47,NSW,Urban,Tablet_Android,App,Daily,53,6:00 PM - 12:00 AM,12,3,4,BNPL,Y,2,0
CXAUQ_2154,40,70,362,M,44,VIC,Urban,Phone_iOS,Browser,Weekly,35,6:00 AM - 12:00 PM,6,3,2,BNPL,N,0,0
CXAUQ_2591,40,50,303,F,33,NSW,Urban,Tablet_iOS,Browser,Daily,58,6:00 PM - 12:00 AM,3,3,3,eWallet,N,0,0
CXAUQ_2263,40,212,147,F,25,QLD,Urban,Phone_Android,Browser,Weekly,5,6:00 AM - 12:00 PM,6,2,3,eWallet,N,0,0
CXAUQ_1364,40,69,77,F,36,NSW,Urban,Phone_iOS,App,Daily,4,6:00 PM - 12:00 AM,2,2,3,eWallet,Y,19,0
CXAUQ_2389,1150,176,401,M,58,NSW,Rural,Tablet_Android,Browser,Daily,19,6:00 AM - 12:00 PM,14,3,4,BNPL,N,0,0
CXAUQ_1850,250,125,150,M,39,SA,Urban,Phone_iOS,App,Weekly,25,6:00 AM - 12:00 PM,4,2,3,eWallet,Y,8,8
CXAUQ_774,1100,154,0,F,43,NSW,Urban,Tablet_Android,Browser,Daily,1,12:00 PM - 6:00 PM,3,4,4,BNPL,N,0,0
CXAUQ_463,300,121,0,F,33,VIC,Rural,Tablet_iOS,Browser,Weekly,13,12:00 PM - 6:00 PM,2,2,4,Card,N,0,0
CXAUQ_547,600,214,341,M,40,NSW,Urban,Phone_Android,Browser,Daily,59,12:00 PM - 6:00 PM,3,4,4,BNPL,N,0,0
CXAUQ_1825,750,208,40,F,56,TAS,Urban,Tablet_Android,Browser,Weekly,8,6:00 AM - 12:00 PM,1,5,4,eWallet,N,0,0
CXAUQ_2408,650,50,309,F,35,ACT,Rural,Phone_Android,Browser,Weekly,60,6:00 AM - 12:00 PM,2,3,4,BNPL,N,0,0
CXAUQ_823,950,50,500,M,40,SA,Rural,Phone_iOS,Browser,Monthly,57,12:00 AM - 6:00 AM,3,3,4,eWallet,N,0,0
CXAUQ_203,300,50,162,M,36,ACT,Urban,Tablet_iOS,Browser,Weekly,35,12:00 PM - 6:00 PM,6,2,3,eWallet,N,0,0
CXAUQ_2446,40,75,311,F,46,NSW,Rural,Phone_iOS,Browser,Daily,27,6:00 AM - 12:00 PM,1,3,4,eWallet,N,0,0
CXAUQ_2679,1500,50,117,M,55,NSW,Urban,Tablet_Android,Browser,Daily,14,6:00 PM - 12:00 AM,6,5,4,BNPL,N,0,0
CXAUQ_852,300,78,189,M,45,NT,Urban,Phone_iOS,Browser,Weekly,0,12:00 AM - 6:00 AM,4,1,2,BNPL,N,0,0
CXAUQ_2269,40,91,445,M,28,QLD,Urban,Phone_Android,Browser,Daily,11,6:00 AM - 12:00 PM,1,2,2,BNPL,N,0,0
CXAUQ_466,1150,202,0,F,54,ACT,Urban,Phone_Android,Browser,Monthly,54,12:00 PM - 6:00 PM,6,4,4,BNPL,N,0,0
CXAUQ_959,40,126,63,M,22,NSW,Rural,Phone_iOS,Browser,Daily,52,12:00 AM - 6:00 AM,1,2,4,eWallet,N,0,0
CXAUQ_608,1150,133,0,F,44,NSW,Urban,Tablet_iOS,App,Daily,25,12:00 PM - 6:00 PM,2,5,4,BNPL,Y,8,0
CXAUQ_1057,40,117,253,M,64,WA,Urban,Tablet_Android,Browser,Monthly,25,12:00 AM - 6:00 AM,3,2,3,eWallet,N,0,0
CXAUQ_1263,40,50,326,F,26,NSW,Urban,Phone_Android,Browser,Daily,38,12:00 AM - 6:00 AM,1,2,1,BNPL,N,0,0
CXAUQ_2328,750,205,494,M,54,VIC,Urban,Tablet_Android,Browser,Monthly,49,6:00 AM - 12:00 PM,2,4,4,BNPL,N,0,0
CXAUQ_265,850,50,297,M,44,ACT,Urban,Tablet_iOS,Browser,Monthly,49,12:00 PM - 6:00 PM,1,3,4,BNPL,N,0,0
CXAUQ_2584,1350,194,283,F,47,TAS,Urban,Tablet_Android,Browser,Monthly,27,6:00 PM - 12:00 AM,14,5,4,BNPL,N,0,0
CXAUQ_586,1300,129,0,F,43,NSW,Rural,Tablet_Android,App,Daily,14,12:00 PM - 6:00 PM,13,5,4,BNPL,Y,27,0
CXAUQ_2108,1450,90,58,F,47,SA,Rural,Phone_Android,Browser,Monthly,32,6:00 AM - 12:00 PM,12,5,4,eWallet,N,0,0
CXAUQ_2770,40,271,295,F,23,QLD,Urban,Phone_iOS,App,Monthly,56,6:00 PM - 12:00 AM,1,1,3,eWallet,Y,10,8
CXAUQ_2487,700,130,289,M,51,NSW,Urban,Tablet_Android,Browser,Monthly,26,6:00 PM - 12:00 AM,13,5,4,BNPL,N,0,0
CXAUQ_155,1200,227,414,M,54,NSW,Urban,Tablet_Android,App,Daily,52,12:00 PM - 6:00 PM,4,5,4,BNPL,Y,13,0
CXAUQ_2134,1100,220,58,F,56,WA,Rural,Phone_Android,Browser,Weekly,58,6:00 AM - 12:00 PM,7,5,4,eWallet,N,0,0
CXAUQ_221,1350,151,138,M,48,NSW,Urban,Phone_Android,Browser,Daily,33,12:00 PM - 6:00 PM,4,5,4,eWallet,N,0,0
CXAUQ_724,800,124,406,M,46,ACT,Urban,Tablet_Android,Browser,Monthly,48,12:00 PM - 6:00 PM,13,3,4,Card,N,0,0
CXAUQ_1759,400,276,50,F,37,VIC,Urban,Phone_Android,Browser,Monthly,29,6:00 PM - 12:00 AM,1,3,3,eWallet,N,0,0
CXAUQ_1755,750,228,313,M,40,NSW,Urban,Phone_iOS,Browser,Daily,23,6:00 PM - 12:00 AM,8,4,4,BNPL,N,0,0
CXAUQ_1317,1100,201,107,M,60,VIC,Rural,Tablet_Android,App,Daily,16,6:00 PM - 12:00 AM,13,5,4,eWallet,Y,17,0
CXAUQ_467,40,50,0,M,24,NT,Rural,Tablet_iOS,Browser,Weekly,31,12:00 PM - 6:00 PM,1,1,4,eWallet,N,0,0
CXAUQ_1999,1150,267,364,F,57,WA,Urban,Tablet_Android,App,Weekly,0,6:00 AM - 12:00 PM,1,5,4,BNPL,Y,11,8
CXAUQ_995,40,183,183,F,31,NSW,Rural,Phone_iOS,Browser,Daily,17,12:00 AM - 6:00 AM,4,3,4,Card,N,0,0
CXAUQ_1633,950,276,481,M,59,NSW,Rural,Tablet_Android,Browser,Daily,36,6:00 PM - 12:00 AM,7,5,4,BNPL,N,0,0
CXAUQ_561,750,211,391,M,39,NT,Urban,Phone_iOS,Browser,Monthly,24,12:00 PM - 6:00 PM,14,3,4,BNPL,N,0,0
CXAUQ_2507,1800,259,367,M,59,WA,Urban,Tablet_Android,App,Monthly,8,6:00 PM - 12:00 AM,5,5,4,BNPL,Y,11,0
CXAUQ_1083,40,272,295,F,21,NSW,Urban,Phone_Android,Browser,Daily,18,12:00 AM - 6:00 AM,6,2,1,BNPL,N,0,0
CXAUQ_2497,40,224,429,M,23,ACT,Urban,Phone_iOS,Browser,Daily,14,6:00 PM - 12:00 AM,6,1,3,eWallet,N,0,0
CXAUQ_461,350,177,0,F,40,VIC,Urban,Phone_iOS,Browser,Weekly,40,12:00 PM - 6:00 PM,4,2,3,Card,N,0,0
CXAUQ_619,750,165,483,M,45,VIC,Rural,Tablet_Android,Browser,Weekly,1,12:00 PM - 6:00 PM,7,4,4,BNPL,N,0,0
CXAUQ_1318,450,50,227,F,40,VIC,Urban,Phone_iOS,Browser,Daily,40,6:00 PM - 12:00 AM,3,2,4,BNPL,N,0,0
CXAUQ_2028,40,78,434,M,45,NT,Rural,Phone_iOS,App,Monthly,45,6:00 AM - 12:00 PM,4,1,2,BNPL,Y,11,0
CXAUQ_1010,146,58,142,F,61,VIC,Rural,Tablet_Android,Browser,Daily,32,12:00 AM - 6:00 AM,14,5,4,Card,N,0,0
CXAUQ_381,1000,235,0,M,56,SA,Rural,Phone_Android,Browser,Monthly,43,12:00 PM - 6:00 PM,5,5,4,BNPL,N,0,0
CXAUQ_51,900,176,0,F,50,WA,Urban,Tablet_Android,Browser,Monthly,2,12:00 PM - 6:00 PM,5,5,4,BNPL,N,0,0
CXAUQ_2490,40,190,498,M,34,VIC,Urban,Phone_iOS,App,Weekly,26,6:00 PM - 12:00 AM,6,3,3,eWallet,Y,13,0
CXAUQ_2648,300,50,435,M,28,NSW,Urban,Tablet_iOS,Browser,Daily,47,6:00 PM - 12:00 AM,6,3,3,Card,N,0,0
CXAUQ_1902,40,50,418,F,35,VIC,Urban,Phone_iOS,Browser,Daily,53,6:00 AM - 12:00 PM,1,1,1,BNPL,N,0,0
CXAUQ_998,40,81,41,F,63,WA,Urban,Tablet_iOS,App,Weekly,7,12:00 AM - 6:00 AM,1,2,3,Card,Y,19,0
CXAUQ_1298,40,189,74,M,50,VIC,Urban,Phone_iOS,Browser,Daily,17,6:00 PM - 12:00 AM,8,4,3,eWallet,N,0,0
CXAUQ_1565,40,210,106,F,42,NSW,Urban,Tablet_iOS,Browser,Daily,33,6:00 PM - 12:00 AM,1,1,3,eWallet,N,0,0
CXAUQ_1028,265,94,376,M,68,QLD,Rural,Tablet_iOS,Browser,Daily,57,12:00 PM - 6:00 PM,4,1,4,Card,N,0,0
CXAUQ_704,1450,50,0,F,57,VIC,Urban,Tablet_Android,App,Monthly,47,12:00 PM - 6:00 PM,6,5,4,eWallet,Y,22,0
CXAUQ_1444,1650,83,262,M,55,NSW,Urban,Tablet_Android,App,Daily,46,6:00 PM - 12:00 AM,9,5,4,BNPL,Y,14,0
CXAUQ_1210,40,59,376,F,27,NSW,Urban,Phone_iOS,App,Daily,11,12:00 AM - 6:00 AM,1,2,1,BNPL,Y,29,0
CXAUQ_2058,40,205,369,M,34,VIC,Urban,Tablet_iOS,App,Weekly,30,6:00 AM - 12:00 PM,1,2,2,BNPL,Y,15,1
CXAUQ_337,450,50,0,M,31,NSW,Urban,Phone_iOS,Browser,Daily,16,12:00 PM - 6:00 PM,6,1,4,Card,N,0,0
CXAUQ_1120,40,50,40,M,59,NSW,Urban,Tablet_iOS,Browser,Daily,28,12:00 AM - 6:00 AM,1,4,3,eWallet,N,0,0
CXAUQ_1307,400,152,40,M,42,QLD,Urban,Phone_iOS,Browser,Weekly,47,6:00 PM - 12:00 AM,6,1,3,eWallet,N,0,0
CXAUQ_1936,40,93,308,M,33,NT,Urban,Phone_iOS,App,Monthly,58,6:00 AM - 12:00 PM,4,2,1,BNPL,Y,17,0
CXAUQ_1708,700,167,199,F,49,NT,Urban,Tablet_Android,Browser,Monthly,35,6:00 PM - 12:00 AM,4,4,4,eWallet,N,0,0
CXAUQ_7,40,240,120,M,33,VIC,Urban,Phone_iOS,Browser,Daily,1,12:00 PM - 6:00 PM,5,3,3,eWallet,N,0,0
CXAUQ_1658,40,78,40,M,36,VIC,Rural,Tablet_Android,App,Monthly,54,6:00 PM - 12:00 AM,3,3,4,eWallet,Y,24,0
CXAUQ_1243,1000,50,81,F,40,NT,Urban,Tablet_Android,App,Monthly,33,12:00 AM - 6:00 AM,5,3,4,eWallet,Y,12,0
CXAUQ_1583,1300,86,387,M,56,ACT,Urban,Phone_Android,Browser,Weekly,45,6:00 PM - 12:00 AM,7,5,4,BNPL,N,0,0
CXAUQ_2114,40,213,486,F,24,WA,Rural,Tablet_iOS,Browser,Daily,47,6:00 AM - 12:00 PM,4,1,3,BNPL,N,0,0
CXAUQ_2692,40,111,381,F,31,NSW,Urban,Tablet_Android,App,Daily,20,6:00 PM - 12:00 AM,6,1,3,eWallet,Y,7,0
CXAUQ_935,40,219,219,M,34,NSW,Rural,Tablet_iOS,App,Daily,13,12:00 AM - 6:00 AM,1,1,4,Card,Y,30,8
CXAUQ_1889,300,121,40,F,35,VIC,Urban,Phone_iOS,App,Daily,31,6:00 AM - 12:00 PM,1,2,3,eWallet,Y,24,8
CXAUQ_769,40,137,344,M,37,NSW,Urban,Phone_iOS,App,Daily,24,12:00 PM - 6:00 PM,1,4,1,BNPL,Y,13,0
CXAUQ_1851,40,149,297,F,25,VIC,Rural,Phone_iOS,App,Daily,0,6:00 AM - 12:00 PM,1,1,3,BNPL,Y,14,0
CXAUQ_753,40,141,71,M,20,WA,Rural,Phone_Android,App,Weekly,24,12:00 PM - 6:00 PM,3,1,4,eWallet,Y,9,0
CXAUQ_2804,1050,168,100,M,58,WA,Rural,Tablet_Android,App,Weekly,30,6:00 PM - 12:00 AM,10,4,4,BNPL,Y,19,0
CXAUQ_1504,1500,101,376,M,54,NSW,Urban,Tablet_Android,Browser,Daily,31,6:00 PM - 12:00 AM,6,5,4,BNPL,N,0,0
CXAUQ_2573,1200,190,338,F,59,NSW,Rural,Phone_Android,Browser,Daily,30,6:00 PM - 12:00 AM,2,5,4,BNPL,N,0,0
CXAUQ_1423,40,223,40,M,36,VIC,Urban,Tablet_iOS,Browser,Weekly,20,6:00 PM - 12:00 AM,4,3,3,eWallet,N,0,0
CXAUQ_1044,40,136,388,F,21,NT,Rural,Phone_iOS,App,Daily,25,12:00 AM - 6:00 AM,4,2,2,BNPL,Y,10,8
CXAUQ_1967,40,82,379,F,60,WA,Rural,Phone_iOS,Browser,Daily,11,6:00 AM - 12:00 PM,1,1,2,BNPL,N,0,0
CXAUQ_1712,40,156,238,M,36,QLD,Urban,Phone_iOS,App,Weekly,19,6:00 PM - 12:00 AM,6,2,1,BNPL,Y,21,0
CXAUQ_2429,1250,104,54,M,51,VIC,Urban,Tablet_Android,Browser,Weekly,59,6:00 AM - 12:00 PM,6,4,4,BNPL,N,0,0
CXAUQ_1544,40,84,239,M,60,NT,Urban,Tablet_iOS,Browser,Daily,28,6:00 PM - 12:00 AM,1,2,1,BNPL,N,0,0
CXAUQ_1219,40,98,380,M,48,QLD,Urban,Phone_iOS,App,Weekly,13,12:00 AM - 6:00 AM,1,4,1,BNPL,Y,23,0
CXAUQ_1266,40,59,81,F,34,NSW,Urban,Phone_Android,Browser,Daily,13,12:00 AM - 6:00 AM,1,4,3,eWallet,N,0,0
CXAUQ_162,40,245,288,F,28,WA,Urban,Tablet_iOS,Browser,Daily,14,12:00 PM - 6:00 PM,6,1,2,BNPL,N,0,0
CXAUQ_2245,450,157,407,F,28,QLD,Urban,Tablet_iOS,App,Monthly,39,6:00 AM - 12:00 PM,5,2,4,BNPL,Y,8,0
CXAUQ_690,1050,286,0,F,51,ACT,Urban,Tablet_Android,App,Monthly,45,12:00 PM - 6:00 PM,14,3,4,BNPL,Y,5,0
CXAUQ_1417,950,50,180,M,41,NSW,Urban,Phone_iOS,Browser,Daily,37,6:00 PM - 12:00 AM,3,1,4,eWallet,N,0,0
CXAUQ_779,40,59,40,M,54,QLD,Rural,Phone_Android,Browser,Weekly,31,12:00 PM - 6:00 PM,1,4,4,Card,N,0,0
CXAUQ_699,700,256,452,M,49,VIC,Urban,Tablet_Android,Browser,Monthly,50,12:00 PM - 6:00 PM,9,4,4,BNPL,N,0,0
CXAUQ_1672,850,131,345,F,52,QLD,Urban,Tablet_Android,Browser,Monthly,37,6:00 PM - 12:00 AM,8,4,4,BNPL,N,0,0
CXAUQ_1896,40,128,250,M,25,VIC,Rural,Phone_iOS,Browser,Daily,25,6:00 AM - 12:00 PM,5,1,3,BNPL,N,0,0
CXAUQ_1267,450,142,383,F,40,ACT,Rural,Phone_Android,Browser,Weekly,50,12:00 AM - 6:00 AM,7,4,4,BNPL,N,0,0
CXAUQ_1962,40,294,389,M,51,WA,Urban,Tablet_iOS,Browser,Weekly,13,6:00 AM - 12:00 PM,4,4,2,BNPL,N,0,0
CXAUQ_2093,40,68,40,F,37,QLD,Urban,Phone_iOS,App,Weekly,57,6:00 AM - 12:00 PM,3,1,3,eWallet,Y,21,0
CXAUQ_593,500,120,310,M,34,ACT,Urban,Phone_iOS,Browser,Weekly,8,12:00 PM - 6:00 PM,1,1,4,Card,N,0,0
CXAUQ_1500,40,102,398,M,20,NSW,Urban,Tablet_iOS,Browser,Daily,30,6:00 PM - 12:00 AM,1,2,2,BNPL,N,0,0
CXAUQ_249,40,50,287,M,39,NSW,Rural,Tablet_iOS,Browser,Daily,2,12:00 PM - 6:00 PM,2,2,4,eWallet,N,0,0
CXAUQ_2553,40,50,320,M,52,SA,Urban,Phone_iOS,App,Daily,46,6:00 PM - 12:00 AM,1,3,3,eWallet,Y,23,0
CXAUQ_1546,1250,50,143,M,58,TAS,Rural,Tablet_Android,Browser,Monthly,60,6:00 PM - 12:00 AM,1,4,4,eWallet,N,0,0
CXAUQ_1868,40,154,164,F,24,VIC,Rural,Phone_iOS,App,Daily,33,6:00 AM - 12:00 PM,6,2,4,eWallet,Y,14,0
